zipcode,state,income,cbsa_income,state_income,latitude,longitude
44415,OH,1000000,69266,79470,40.75,-80.68
44416,OH,1000000,67467,79470,41.02,-80.85
44417,OH,52031,67467,79470,41.39,-80.66
44418,OH,109861,67467,79470,41.33,-80.6
44420,OH,60421,67467,79470,41.15,-80.69
44422,OH,1000000,67467,79470,40.98,-80.78
44423,OH,75605,69266,79470,40.75,-80.93
44424,OH,0,67467,79470,41.31,-80.56
44425,OH,75491,67467,79470,41.16,-80.56
44427,OH,71667,73886,79470,40.7,-80.93
44428,OH,65417,67467,79470,41.43,-80.57
44429,OH,71761,82433,79470,41.1,-80.98
44430,OH,53047,67467,79470,41.24,-80.9
44431,OH,71786,69266,79470,40.87,-80.76
44432,OH,66844,69266,79470,40.77,-80.76
44436,OH,79583,67467,79470,41.04,-80.54
44437,OH,70325,67467,79470,41.16,-80.72
44438,OH,45341,67467,79470,41.23,-80.53
44439,OH,74167,67467,79470,41.46,-80.96
44440,OH,79271,67467,79470,41.13,-80.76
44441,OH,85313,69266,79470,40.76,-80.55
44442,OH,68636,67467,79470,40.96,-80.56
44443,OH,71406,69266,79470,40.92,-80.58
44444,OH,75532,82433,79470,41.18,-80.96
44445,OH,87981,69266,79470,40.84,-80.62
44446,OH,62199,67467,79470,41.18,-80.75
44449,OH,100048,82433,79470,40.98,-81.01
44450,OH,57500,67467,79470,41.45,-80.8
44451,OH,89044,67467,79470,41.09,-80.86
44452,OH,80602,67467,79470,40.95,-80.65
44453,OH,1000000,67467,79470,41.34,-80.52
44454,OH,54857,69266,79470,40.9,-80.54
44455,OH,86318,69266,79470,40.79,-80.62
44460,OH,73565,69266,79470,40.9,-80.85
44470,OH,69574,82433,79470,41.3,-80.95
44471,OH,54771,67467,79470,41.05,-80.59
44473,OH,93634,67467,79470,41.25,-80.67
44481,OH,70761,67467,79470,41.18,-80.9
44482,OH,1000000,null,79470,41.23,-80.81
44483,OH,51356,67467,79470,41.23,-80.81
44484,OH,71768,67467,79470,41.24,-80.75
44485,OH,37019,67467,79470,41.24,-80.85
44486,OH,1000000,null,79470,41.23,-80.81
44490,OH,43250,69266,79470,40.9,-80.77
44491,OH,67975,82683,79470,41.39,-80.97
44492,OH,1000000,69266,79470,40.71,-80.66
44493,OH,1000000,69266,79470,40.83,-80.89
44501,OH,1000000,67467,79470,41.09,-80.64
44502,OH,30901,67467,79470,41.09,-80.64
44503,OH,1000000,67467,79470,41.1,-80.65
44504,OH,60164,67467,79470,41.12,-80.65
44505,OH,39107,67467,79470,41.13,-80.62
44506,OH,32804,67467,79470,41.09,-80.63
44507,OH,30724,67467,79470,41.07,-80.66
44509,OH,40813,67467,79470,41.11,-80.7
44510,OH,18750,67467,79470,41.12,-80.67
44511,OH,67013,67467,79470,41.07,-80.7
44512,OH,80361,67467,79470,41.03,-80.67
44513,OH,1000000,67467,79470,41.09,-80.64
44514,OH,91636,67467,79470,41,-80.61
44515,OH,67090,67467,79470,41.1,-80.76
44555,OH,1000000,67467,79470,41.09,-80.64
44601,OH,63461,82433,79470,40.91,-81.11
44606,OH,71949,77156,79470,40.75,-81.84
44607,OH,0,73886,79470,40.69,-81.03
44608,OH,49770,73886,79470,40.65,-81.58
44609,OH,64167,69266,79470,40.92,-81
44610,OH,63750,null,79470,40.56,-81.8
44611,OH,69306,77156,79470,40.6,-82.06
44612,OH,91182,73886,79470,40.65,-81.45
44613,OH,61477,73886,79470,40.71,-81.6
44614,OH,91525,82433,79470,40.89,-81.58
44615,OH,65476,73886,79470,40.57,-81.09
44617,OH,1000000,null,79470,40.48,-81.73
44618,OH,72996,77156,79470,40.79,-81.69
44619,OH,70560,69266,79470,40.9,-80.91
44620,OH,76442,73886,79470,40.55,-81.19
44621,OH,55529,73886,79470,40.39,-81.32
44622,OH,83246,69953,79470,40.52,-81.47
44624,OH,102981,77156,79470,40.58,-81.6
44625,OH,83705,73886,79470,40.76,-81.01
44626,OH,96657,73886,79470,40.69,-81.38
44627,OH,85288,77156,79470,40.67,-81.86
44628,OH,65938,73861,79470,40.53,-82.17
44629,OH,77753,69953,79470,40.35,-81.43
44630,OH,1000000,73886,79470,40.92,-81.4
44632,OH,97880,82433,79470,40.96,-81.33
44633,OH,81250,null,79470,40.62,-81.92
44634,OH,62326,73886,79470,40.85,-81.05
44636,OH,1000000,77156,79470,40.73,-81.74
44637,OH,67434,61482,79470,40.49,-81.98
44638,OH,78657,77156,79470,40.63,-82.15
44639,OH,46458,73886,79470,40.45,-81.2
44640,OH,72500,73886,79470,40.99,-81.15
44641,OH,81525,73886,79470,40.83,-81.26
44643,OH,56346,73886,79470,40.65,-81.29
44644,OH,79821,73886,79470,40.68,-81.18
44645,OH,78508,82433,79470,40.9,-81.73
44646,OH,70780,73886,79470,40.81,-81.5
44647,OH,67303,73886,79470,40.78,-81.52
44648,OH,1000000,73886,79470,40.78,-81.52
44650,OH,1000000,73886,79470,40.92,-81.15
44651,OH,74583,73886,79470,40.62,-80.95
44652,OH,84671,73886,79470,40.9,-81.33
44653,OH,55800,69953,79470,40.44,-81.37
44654,OH,78281,61482,79470,40.55,-81.91
44656,OH,77881,73886,79470,40.6,-81.36
44657,OH,74307,73886,79470,40.72,-81.1
44659,OH,68750,77156,79470,40.69,-81.7
